Name,CCA,Indicator
Northshore Primary School,Art and Crafts,
Oasis Primary School,Art and Crafts,
Opera Estate Primary School,Art and Crafts,
Palm View Primary School,Art and Crafts,1.0
Park View Primary School,Art and Crafts,1.0
Pasir Ris Primary School,Art and Crafts,
Paya Lebar Methodist Girls' School (Primary),Art and Crafts,1.0
Pei Chun Public School,Art and Crafts,1.0
Pei Hwa Presbyterian Primary School,Art and Crafts,1.0
Pei Tong Primary School,Art and Crafts,1.0
Peiying Primary School,Art and Crafts,1.0
Poi Ching School,Art and Crafts,1.0
Princess Elizabeth Primary School,Art and Crafts,
Punggol Cove Primary School,Art and Crafts,1.0
Punggol Green Primary School,Art and Crafts,1.0
Punggol Primary School,Art and Crafts,1.0
Punggol View Primary School,Art and Crafts,1.0
Qifa Primary School,Art and Crafts,1.0
Qihua Primary School,Art and Crafts,
Queenstown Primary School,Art and Crafts,1.0
Radin Mas Primary School,Art and Crafts,1.0
Raffles Girls' Primary School,Art and Crafts,1.0
Red Swastika School,Art and Crafts,1.0
River Valley Primary School,Art and Crafts,1.0
Riverside Primary School,Art and Crafts,1.0
Rivervale Primary School,Art and Crafts,1.0
Rosyth School,Art and Crafts,1.0
Rulang Primary School,Art and Crafts,1.0
Sembawang Primary School,Art and Crafts,1.0
Seng Kang Primary School,Art and Crafts,
Sengkang Green Primary School,Art and Crafts,1.0
Shuqun Primary School,Art and Crafts,1.0
Si Ling Primary School,Art and Crafts,1.0
Singapore Chinese Girls' Primary School,Art and Crafts,1.0
South View Primary School,Art and Crafts,1.0
Springdale Primary School,Art and Crafts,1.0
St. Andrew's Junior School,Art and Crafts,1.0
St. Anthony's Canossian Primary School,Art and Crafts,1.0
St. Anthony's Primary School,Art and Crafts,1.0
St. Gabriel's Primary School,Art and Crafts,1.0
St. Hilda's Primary School,Art and Crafts,1.0
St. Joseph's Institution Junior,Art and Crafts,1.0
St. Margaret's Primary School,Art and Crafts,
St. Stephen's School,Art and Crafts,1.0
Tampines North Primary School,Art and Crafts,1.0
Tampines Primary School,Art and Crafts,1.0
Tanjong Katong Primary School,Art and Crafts,1.0
Tao Nan School,Art and Crafts,1.0
Teck Ghee Primary School,Art and Crafts,1.0
Teck Whye Primary School,Art and Crafts,
Telok Kurau Primary School,Art and Crafts,1.0
Temasek Primary School,Art and Crafts,1.0
Townsville Primary School,Art and Crafts,1.0
Unity Primary School,Art and Crafts,1.0
Valour Primary School,Art and Crafts,
Waterway Primary School,Art and Crafts,1.0
Wellington Primary School,Art and Crafts,1.0
West Grove Primary School,Art and Crafts,1.0
West Spring Primary School,Art and Crafts,1.0
West View Primary School,Art and Crafts,1.0
Westwood Primary School,Art and Crafts,
White Sands Primary School,Art and Crafts,1.0
Woodgrove Primary School,Art and Crafts,1.0
Woodlands Primary School,Art and Crafts,1.0
Woodlands Ring Primary School,Art and Crafts,1.0
Xinghua Primary School,Art and Crafts,1.0
Xingnan Primary School,Art and Crafts,1.0
Xinmin Primary School,Art and Crafts,1.0
Xishan Primary School,Art and Crafts,1.0
Yangzheng Primary School,Art and Crafts,1.0
Yew Tee Primary School,Art and Crafts,1.0
Yio Chu Kang Primary School,Art and Crafts,1.0
Yishun Primary School,Art and Crafts,1.0
Yu Neng Primary School,Art and Crafts,1.0
Yuhua Primary School,Art and Crafts,1.0
Yumin Primary School,Art and Crafts,1.0
Zhangde Primary School,Art and Crafts,1.0
Zhenghua Primary School,Art and Crafts,1.0
Zhonghua Primary School,Art and Crafts,1.0
Admiralty Primary School,Artistic Gymnastics,
Ahmad Ibrahim Primary School,Artistic Gymnastics,
Ai Tong School,Artistic Gymnastics,
Alexandra Primary School,Artistic Gymnastics,
Anchor Green Primary School,Artistic Gymnastics,
Anderson Primary School,Artistic Gymnastics,
Ang Mo Kio Primary School,Artistic Gymnastics,
Anglo-Chinese School (Junior),Artistic Gymnastics,
Anglo-Chinese School (Primary),Artistic Gymnastics,
Angsana Primary School,Artistic Gymnastics,
Beacon Primary School,Artistic Gymnastics,
Bedok Green Primary School,Artistic Gymnastics,
Bendemeer Primary School,Artistic Gymnastics,
Blangah Rise Primary School,Artistic Gymnastics,
Boon Lay Garden Primary School,Artistic Gymnastics,
Bukit Panjang Primary School,Artistic Gymnastics,
Bukit Timah Primary School,Artistic Gymnastics,
Bukit View Primary School,Artistic Gymnastics,
CHIJ (Katong) Primary,Artistic Gymnastics,1.0
CHIJ (Kellock),Artistic Gymnastics,1.0
CHIJ Our Lady Queen of Peace,Artistic Gymnastics,
CHIJ Our Lady of Good Counsel,Artistic Gymnastics,
CHIJ Our Lady of the Nativity,Artistic Gymnastics,
CHIJ Primary (Toa Payoh),Artistic Gymnastics,1.0
CHIJ St. Nicholas Girls' School (Primary Section),Artistic Gymnastics,1.0
Canberra Primary School,Artistic Gymnastics,
Canossa Catholic Primary School,Artistic Gymnastics,
Cantonment Primary School,Artistic Gymnastics,
Casuarina Primary School,Artistic Gymnastics,
Catholic High School (Primary Section),Artistic Gymnastics,
Cedar Primary School,Artistic Gymnastics,
Changkat Primary School,Artistic Gymnastics,
Chongfu School,Artistic Gymnastics,
Chongzheng Primary School,Artistic Gymnastics,
Chua Chu Kang Primary School,Artistic Gymnastics,
Clementi Primary School,Artistic Gymnastics,
Compassvale Primary School,Artistic Gymnastics,
Concord Primary School,Artistic Gymnastics,
Corporation Primary School,Artistic Gymnastics,
Damai Primary School,Artistic Gymnastics,
Dazhong Primary School,Artistic Gymnastics,
De La Salle School,Artistic Gymnastics,
East Spring Primary School,Artistic Gymnastics,
Edgefield Primary School,Artistic Gymnastics,
Elias Park Primary School,Artistic Gymnastics,
Endeavour Primary School,Artistic Gymnastics,
Evergreen Primary School,Artistic Gymnastics,
Fairfield Methodist School (Primary),Artistic Gymnastics,
Farrer Park Primary School,Artistic Gymnastics,
Fengshan Primary School,Artistic Gymnastics,
Fern Green Primary School,Artistic Gymnastics,
Fernvale Primary School,Artistic Gymnastics,
First Toa Payoh Primary School,Artistic Gymnastics,
Frontier Primary School,Artistic Gymnastics,
Fuchun Primary School,Artistic Gymnastics,
Fuhua Primary School,Artistic Gymnastics,
Gan Eng Seng Primary School,Artistic Gymnastics,
Geylang Methodist School (Primary),Artistic Gymnastics,
Gongshang Primary School,Artistic Gymnastics,
Greendale Primary School,Artistic Gymnastics,
Greenridge Primary School,Artistic Gymnastics,
